"","Wh.1983_87","AA.1994_98","HU.1995_04","NA.1983_87","HF.1995_04","Ch.1998_02","Ja.1998_02","Fi.1998_02","Hw.1998_02","oP.1998_02","oA.1998_02","Wh_Avg.1992_96"
"[20,25)",1e-05,2.696e-05,1.66e-05,1e-05,1.02e-05,4.059636e-06,1e-12,7.500161e-06,4.5080582e-05,1e-12,1.2355409e-05,1.22e-05
"[25,30)",7.6e-05,0.00011295,7.41e-05,7.6e-05,5.31e-05,4.5944465e-05,9.9483924e-05,8.1073945e-05,9.8570724e-05,7.1525212e-05,5.9526456e-05,7.41e-05
"[30,35)",0.000266,0.00031094,0.000274,0.000266,0.0001578,0.000188279352,0.000287041681,0.000227492565,0.00033997086,0.000288799028,0.000184320831,0.0002297
"[35,40)",0.000661,0.00067639,0.0006099,0.000661,0.0003602,0.000492930493,0.000545285759,0.000549786433,0.000852591429,0.000602250698,0.000454677273,0.0005649
"[40,45)",0.001265,0.00119444,0.0012225,0.001265,0.0007617,0.000913603501,0.001152211095,0.001129400541,0.001668562761,0.000755579402,0.000791265338,0.0011645
"[45,50)",0.001866,0.00187394,0.0019027,0.001866,0.0011599,0.001471537353,0.001859245108,0.001813873795,0.002552703284,0.000766406354,0.001048462801,0.0019525
"[50,55)",0.002211,0.00241504,0.0023142,0.002211,0.0014111,0.001421275482,0.002606291272,0.002223665639,0.003321774046,0.001893124938,0.001372467817,0.0026154
"[55,60)",0.002721,0.00291112,0.0028357,0.002721,0.0017245,0.001970946494,0.003221751682,0.002680309266,0.005373001776,0.002365580107,0.001495473711,0.0030279
"[60,65)",0.003348,0.00310127,0.0031144,0.003348,0.0020619,0.001674745804,0.004006961859,0.00289121923,0.005237808549,0.00284393307,0.001646746198,0.0036757
"[65,70)",0.003923,0.0036656,0.0030794,0.003923,0.0023603,0.001821581075,0.003521715275,0.002534421279,0.005581732512,0.002920921732,0.001478363563,0.0042029
"[70,75)",0.004178,0.00393132,0.0033344,0.004178,0.0025575,0.001834477198,0.003593038294,0.002457159409,0.005677419355,0.002330395655,0.001216010125,0.0047308
"[75,80)",0.004439,0.00408951,0.0035082,0.004439,0.0028227,0.001919911972,0.003589303081,0.00228661692,0.006513409962,0.002036291235,0.0010676637,0.0049425
"[80,85)",0.004421,0.00396793,0.0025308,0.004421,0.0028295,0.002233371071,0.003538507159,0.001814802825,0.003889457523,0.001482683983,0.001376104012,0.0047976
"[85,90)",0.004109,0.00363712,0.0020414,0.004109,0.0025868,0.002247315779,0.002051572909,0.00175087913,0.002949061662,0.001012248203,0.000661576644,0.0040106
